Order_Number,Element_Type,Quantity,Value,Estimated_Arrival_Date,Actual_Arrival_Rate
ON001,ProLift 300,10,150000,1/10/2024,1/8/2024
ON002,GigaRig 5000,5,250000,12/9/2024,
ON003,Eagle Z200,7,14000,1/23/2024,2/23/2024
ON004,Eagle Z300,3,900,3/8/2024,3/8/2024
ON005,Nimbus V300,2,1000,5/29/2024,5/28/2024
ON006,Falcon X200,20,20000,6/30/2024,6/30/2024
ON007,Storm R600,10,150000,10/26/2024,10/26/2024
ON008,Scout Pro 500,5,250000,9/9/2024,9/11/2024
ON009,Blackhawk 4000,5,75000,4/20/2024,4/24/2024
ON010,Cumulus Q600,1,25000,11/25/2024,
ON011,EarthMover 1500,6,13600,1/25/2023,2/3/2023
ON012,Falcon X100,2,14000,6/30/2023,7/2/2023
ON013,SolarPanel Pro,7,20000,11/24/2023,11/24/2023
ON014,HydroPump 250,4,30000,4/30/2022,6/1/2022
ON015,CargoMaster 700,8,13000,5/5/2023,5/15/2023
ON016,Precision R100,2,15400,10/30/2024,
ON017,Scout Pro 600,3,300000,10/1/2024,
ON018,Eagle Z300.1,5,9000,6/14/2023,6/20/2023
ON019,Falcon X300,5,18000,7/12/2023,7/20/2023
ON020,EarthMover X1500,2,200000,11/15/2024,
